,title,company,location,job_type,languages,soft_skills,skills,degree_type,degree_field,sub_category_1,sub_category_2,sub_category_3,experience_periode,Homeoffice,teilzeit,Vollzeit
838,Data Engineer,ALLIED VISION TECHNOLOGIES GMBH,"Stadtroda bei Jena, Ahrensburg",['Feste Anstellung'],"['german', 'english']",,"['ssas', 'sql', 'python', 'programming language', 'database']",,,IT,Data & AI,Data Engineering,,True,True,True
839,Data Analyst - ,flaschenpost SE,Münster,['Feste Anstellung'],,"['team player', 'management']","['excel', 'sql', 'tableau', 'programming language', 'bi tools', 'database']",,,IT,Data & AI,Data Analysis,,True,False,True
840,Java Developer Big Data,"GMX, WEB.DE & mail.com",Karlsruhe,['Feste Anstellung'],,,['java'],,,IT,Software Development,Backend Development,,True,True,True
841,Data Engineer Etl Elt-Pipelines Google Cloud Python,Deutscher Ärzteverlag GmbH,"Köln, Leverkusen, Bonn, Düsseldorf, Bergisch Gladbach, Aachen, Krefeld",['Feste Anstellung'],,,"['power bi', 'bi tools']",['degree'],"['engineering', 'computer science']",IT,Data & AI,Data Engineering,,True,False,True
842,Data Analytics,Rhenus Group,Germany,"['Studentenjobs', 'Werkstudent']","['german', 'english']",,"['sql', 'programming language', 'bi tools', 'database']",['masters'],['business'],IT,Data & AI,Data Analysis,,False,True,False
843,Project Manager - Data ,1&1,Düsseldorf,['Feste Anstellung'],"['german', 'english']","['collaboration', 'communication']",['cloud'],,,IT,Data & AI,Data Analysis,10y,True,False,True
844,Extra Service Staff Diagnostics Life Science,HiSS Diagnostics GmbH,"Region Süddeutschland, Home-Office",['Feste Anstellung'],"['german', 'english']",['communication'],['ms office'],,,IT,Software Development,Full-Stack Development,,True,False,True
845,Infrastructure Engineer Cloud Data,IHK Gesellschaft für Informationsverarbeitung mbH,Dortmund,['Feste Anstellung'],,,"['windows server', 'active directory', 'azure', 'azure ad']",['degree'],"['technical', 'computer science', 'business']",IT,DevOps & Cloud,Cloud Engineering,,True,False,True
846,Volljurist - Data Privacy,MOIA GmbH,Hamburg,['Feste Anstellung'],['german'],,['cloud computing'],,,IT,Data & AI,Data Analysis,,True,False,True
847,Technical Product Manager Cloud Engineering Data Management,EPLAN GmbH & Co. KG,"Monheim am Rhein, Stuttgart, München, Hannover, Hamburg",['Feste Anstellung'],"['german', 'english']",['management'],['project management'],,,IT,IT Management,Product & Project Management,,True,False,True
848,Data Engineer,INFOMOTION GmbH,München,['Feste Anstellung'],,"['team player', 'analytical', 'management', 'initiative']","['azure', 'gcp', 'data foundation', 'cloud computing', 'aws', 'data warehouse', 'data lake']",,,IT,Data & AI,Data Engineering,,True,False,True
849,It Application Developer Data Engineer,SIGNAL IDUNA Bauspar AG,Hamburg,['Feste Anstellung'],,['communication'],"['sql', 'linux', 'programming language', 'database']",,,IT,Data & AI,Data Engineering,,True,False,True
850,Data Strategy Governance,PROCON IT GmbH,"Augsburg, Garching bei München","['Studentenjobs', 'Werkstudent']","['german', 'english']","['analytical', 'management', 'communication', 'initiative']","['data foundation', 'data engineering']","['master', 'degree']","['economic', 'computer science']",IT,Data & AI,Data Analysis,,True,True,False
851,Quality Manager Data Analytics Artificial Intelligence,TÜV SÜD,München,['Feste Anstellung'],"['german', 'english']",['management'],"['python', 'ci/cd', 'azure', 'programming language', 'devops/mlops']",['certification'],['engineering'],IT,Data & AI,Data Analysis,5y,True,False,True
852,Product Owner Data Governance Enablement,BMS Corporate Solutions GmbH,"bundesweit, Home-Office",['Feste Anstellung'],,['management'],[],,,IT,Data & AI,Data Analysis,,False,False,True
853,Data Manager It,GEFA BANK GmbH,Wuppertal,['Feste Anstellung'],"['german', 'english']",['management'],"['sql', 'data foundation', 'programming language', 'data engineering', 'bi tools', 'database']",['degree'],"['economic', 'computer science', 'business']",IT,Data & AI,Data Analysis,,True,False,True
854,Business Development,JUWI GmbH,"Wörrstadt, bundesweit","['Studentenjobs', 'Werkstudent']","['german', 'english']",,"['ms office', 'sharepoint', 'power bi', 'vba', 'python', 'sql', 'programming language', 'bi tools', 'database']",,,Business,Sales & Marketing,Sales,,True,True,False
855,Specialist Static Data,Hauck Aufhäuser Lampe Privatbank AG,"Frankfurt am Main, Bielefeld",['Feste Anstellung'],,"['analytical', 'initiative']",['ms office'],,,IT,Data & AI,Data Analysis,,False,False,True
856,Software Developer Data Infrastructure,BMS Corporate Solutions GmbH,"bundesweit, Home-Office",['Feste Anstellung'],,,"['data foundation', 'ci/cd']",,,IT,Software Development,Full-Stack Development,,False,False,True
857,Legal Assistant Lawyers Association R Tech Data ,Fieldfisher Partnerschaft von Rechtsanwälten mbB,Hamburg,['Feste Anstellung'],"['german', 'english']",,['programming language'],['master'],['business'],Legal,Legal Support,Legal Support,,True,False,True
858,Project Manager Data ,Ed. Züblin AG,"Frankfurt am Main, Rhein-Main Gebiet",['Feste Anstellung'],,['management'],['project management'],['degree'],"['engineering', 'technical']",IT,Data & AI,Data Analysis,,False,False,True
859,Iam Data Protection Cybersecurity Manager,TÜV Rheinland Group,Köln,['Feste Anstellung'],"['german', 'english']",['management'],"['ruby', 'python', 'php', 'powershell', 'sql', 'data foundation', 'programming language', 'database']",,,Legal,Compliance & Regulatory,Compliance & Regulatory,5y,False,False,True
860,Data Analytics,H. & J. Brüggen KG,Lübeck,"['Studentenjobs', 'Werkstudent']","['german', 'english']",,['exchange'],"['bachelor', 'master']","['computer science', 'business']",IT,Data & AI,Data Analysis,,False,True,False
861,It Systems Engineer - Complex Data Processing Medical Informatics,Medizinische Fakultät Mannheim,Mannheim,['Befristeter Vertrag'],"['german', 'english']","['management', 'communication']","['linux', 'programming language']",,,IT,DevOps & Cloud,Infrastructure & Networking,,False,False,True
862,Manager Product Data Management,SSI Schäfer Shop GmbH,Betzdorf,['Feste Anstellung'],"['german', 'english']","['analytical', 'management']","['data foundation', 'programming language']",['degree'],"['technical', 'business']",IT,Data & AI,Data Analysis,,True,False,True
863,Data Engineer Feedback Management,BAUHAUS,Mannheim,['Feste Anstellung'],"['german', 'english']",,"['python', 'sql', 'terraform', 'data foundation', 'ci/cd', 'gcp', 'programming language', 'data engineering', 'iac', 'database', 'data warehouse']",,,IT,Data & AI,Data Engineering,,True,True,True
864,Application Consultant Mdg - Master Data Governance,GEA Westfalia Separator Group GmbH,Oelde,['Feste Anstellung'],"['german', 'english']","['problem solving', 'analytical', 'management']","['sap', 'data foundation', 'big data tool']","['master', 'degree']",['technical'],IT,Data & AI,Data Analysis,3y,True,False,True
865,Data Warehouse Entwickler,Hauck Aufhäuser Lampe Privatbank AG,"Frankfurt am Main, Düsseldorf",['Feste Anstellung'],"['german', 'english']",['analytical'],"['oracle', 'programming language', 'bi tools', 'database', 'data warehouse']",,,IT,Data & AI,Data Engineering,,False,False,True
866,Manager Product Lifecycle Data Management,B. Braun Melsungen AG,Melsungen,['Feste Anstellung'],,"['management', 'communication']",['project management'],"[""bachelor's"", 'degree']","['engineering', 'business']",IT,Data & AI,Data Analysis,,True,True,True
867,Data Analyst - Shop Analytics - Hamburg,About You SE & Co. KG,Hamburg,['Feste Anstellung'],,"['communication', 'attention to detail']","['sql', 'tableau', 'python', 'programming language', 'bi tools', 'data science', 'use case', 'analytics techniques', 'database', 'data warehouse']",,,IT,Data & AI,Data Analysis,,True,False,True
868,Logistics Data Analyst,flaschenpost SE,Münster,['Feste Anstellung'],"['german', 'english']",['management'],"['sql', 'javascript', 'python', 'programming language', 'data engineering', 'bi tools', 'database']",,,Business,Procurement,Supply Chain,,False,False,True
869,Product Manager Future Tactical Data Link Services Adlis,TKMS ATLAS ELEKTRONIK GmbH,Bremen,['Feste Anstellung'],,"['management', 'communication']",['project management'],['degree'],"['engineering', 'computer science', 'business']",IT,Data & AI,Data Analysis,,True,False,True
870,Special Rerequent Data Government,E.DIS Netz GmbH,Potsdam,['Befristeter Vertrag'],,"['analytical', 'management', 'communication', 'initiative']",['data foundation'],,,Legal,Compliance & Regulatory,Compliance & Regulatory,,True,False,True
871,Sap Platform Specialist Data Integration,50Hertz Transmission GmbH,Berlin,['Feste Anstellung'],"['german', 'english']",,"['sap', 'programming language', 'data engineering']",,,IT,Data & AI,Data Analysis,,True,False,True
872,Data Analyst - To 12-14 Months,REWE Group,Köln,['Befristeter Vertrag'],,,[],,,IT,Data & AI,Data Analysis,,True,False,True
873,Consultant Data Governance,PROCON IT GmbH,"Garching bei München, Augsburg",['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication', 'initiative']","['data foundation', 'data engineering']","['master', 'degree']","['economic', 'computer science']",IT,Data & AI,Data Analysis,,True,False,True
874,Sap Datasphere Bdc Sac Berater - Sap Consultant Bw 4Hana,Ratbacher GmbH,"Hamburg, Düsseldorf, Würzburg, Berlin, München, Home-Office",['Feste Anstellung'],['german'],,"['cloud', 'sap']",,,IT,IT Support,ERP & Business Systems,,True,False,True
875,Data Strategist,Digitas GmbH,Berlin,['Feste Anstellung'],['german'],['management'],"['google tag manager', 'tableau', 'bi tools']",,,IT,Data & AI,Data Analysis,4y,True,True,True
876,Marketing Data Analyst,Liftstar GmbH,Köln,['Befristeter Vertrag'],,['analytical'],"['excel', 'qlik', 'tableau', 'bi tools']",['degree'],['business'],IT,Data & AI,Data Analysis,,True,False,True
877,Java Developer Real Time Data,50Hertz Transmission GmbH,Berlin,['Feste Anstellung'],"['german', 'english']","['leadership', 'communication']","['java', 'kubernetes', 'containerization', 'ci/cd', 'programming language', 'data pipeline tool']",,,IT,Software Development,Backend Development,,True,False,True
878,Data Strategist Part -Time,Union Investment,Frankfurt am Main,['Feste Anstellung'],,['management'],['project management'],,,IT,Data & AI,Data Analysis,,True,True,True
879,Data Analyst Data Exchange Formats Open Car Parts Market,MEYLE AG,Hamburg,['Feste Anstellung'],"['german', 'english']",,['exchange'],,,IT,Data & AI,Data Analysis,,True,False,True
880,Data Analyst - Search - Hamburg,About You SE & Co. KG,Hamburg,['Feste Anstellung'],,"['organized', 'analytical', 'communication']","['sql', 'python', 'programming language', 'bi tools', 'database', 'data warehouse']",,,IT,Data & AI,Data Analysis,,True,False,True
881,Product Manager Data Platform,Ströer Media Solutions GmbH,"Hamburg, Frankfurt am Main, Düsseldorf, Köln, München, Berlin, Stuttgart",['Feste Anstellung'],,"['management', 'communication']","['databricks', 'data foundation', 'data warehouse']",,,IT,Data & AI,Data Analysis,,True,False,True
882,Consultant Rewards Data Intelligence,Willis Towers Watson GmbH,"Frankfurt am Main, Köln, München, Wien",['Feste Anstellung'],,['communication'],"['word', 'excel']","['bachelor', 'master', 'degree']","['economic', 'business']",IT,Data & AI,Data Analysis,,True,False,True
883,Data Analyst,Arvato Systems GmbH,Gütersloh,['Feste Anstellung'],"['german', 'english']","['communicates', 'management']","['power bi', 'programming language', 'bi tools', 'database', 'data warehouse']",,,IT,Data & AI,Data Analysis,,True,False,True
884,Process Expert Master Data Management,REWE Group,Köln,['Feste Anstellung'],,,['data management'],,,IT,Data & AI,Data Analysis,,True,False,True
885,Bi Data Analyst - Hr-Software,d.vinci HR-Systems GmbH,Hamburg,['Feste Anstellung'],,"['analytical', 'communication']","['tableau', 'bi tools']",,,IT,Data & AI,BI,,True,True,True
886,Data Engineer - Microsoft Fabric,M&M Software GmbH,"Hannover, bundesweit, Home-Office",['Feste Anstellung'],,"['analytical', 'communication']","['power bi', 'dax', 'power query', 'sharepoint', 'excel', 'azure', 'sql server', 'data modeling', 'programming language', 'data engineering', 'bi tools', 'data science', 'database', 'data warehouse']",,,IT,Data & AI,Data Engineering,,True,False,True
887,Data Process Manager,ENOVA Holding GmbH & Co. KG,Hamburg,['Feste Anstellung'],,['management'],['bi tools'],['degree'],"['computer science', 'business']",IT,Data & AI,Data Analysis,,False,False,True
888,Employee Customer Data Invoice Management,Wilhelm Fricke SE - GRANIT PARTS,"Heeslingen bei Bremen, Hemmoor",['Feste Anstellung'],['english'],,[],,,IT,Data & AI,Data Analysis,,True,False,True
889,Data Analyst Data Analyst - Database Server Technology,Bundesanstalt für Wasserbau (BAW),Karlsruhe,['Befristeter Vertrag'],"['german', 'english']","['analytical', 'initiative']","['databases', 'data analysis']","['diploma', 'master']","['engineering', 'computer science']",IT,Data & AI,Data Analysis,,False,True,True
890,Hr Data Government Specialist,enercity AG,Hannover,['Feste Anstellung'],,['management'],"['ai/data strategy', 'programming language']","['master', 'degree']","['computer science', 'business']",IT,Data & AI,Data Analysis,,True,False,True
891,Manager Master Data Maintenance Data Maintenance,JUWI GmbH,Wörrstadt,['Feste Anstellung'],,['communication'],[],,,IT,Data & AI,Data Analysis,,True,True,False
892,Software Engineer - Data Artificial Intelligence Platform - Stackit,STACKIT,Heilbronn,['Feste Anstellung'],,,"['golang', 'kafka', 'spark', 'cloud computing', 'kubernetes', 'data pipeline tool', 'big data tool']",,,IT,Software Development,Full-Stack Development,,False,False,True
893,Legal Counsel Data Privacy,dormakaba Deutschland GmbH,Nordrhein-Westfalen,['Feste Anstellung'],,,[],,,Business,Administration & Legal,Legal & Compliance,,True,False,True
894,Data Manager,Sirius Facilities GmbH,Berlin,['Feste Anstellung'],"['german', 'english']","['team player', 'problem solving', 'analytical', 'initiative']",['excel'],['degree'],"['economic', 'business']",IT,Data & AI,Data Analysis,,True,False,True
895,Sap Consultant Developer Data Migration - Architect Sap Data Migration,Ratbacher GmbH,"Stuttgart, Dortmund, Leipzig, München, Hamburg, Berlin, Home-Office",['Feste Anstellung'],['german'],,['sap'],,,IT,IT Support,ERP & Business Systems,,True,False,True
896,Intern Data It Projects Quality Management,DMK GROUP - DMK Deutsches Milchkontor GmbH,Bremen,['Praktikum'],"['german', 'english']",['management'],['ms office'],,,IT,Data & AI,Data Analysis,,False,False,True
897,Data Governance Specialist,Vaillant GmbH,Remscheid,['Feste Anstellung'],"['german', 'english']","['creativity', 'management', 'communication']","['salesforce', 'data foundation']","[""bachelor's"", 'degree']","['technical', 'business']",IT,Data & AI,Data Analysis,,True,False,True
898,Data Engineer,emetriq GmbH,Hamburg,['Feste Anstellung'],"['german', 'english']","['communicates', 'communication']","['sql', 'data foundation', 'hybrid/multi cloud', 'programming language', 'data engineering', 'big data tool', 'database']",,,IT,Data & AI,Data Engineering,,True,False,True
899,Advanced Data Analyst,OBI GmbH & Co. Deutschland KG,Köln,['Feste Anstellung'],"['german', 'english']",['analytical'],"['r', 'python', 'sql', 'data modeling', 'programming language', 'database']",,,IT,Data & AI,Data Analysis,,True,False,True
900,Data Developer Analytics,bonprix Handelsgesellschaft mbH,Hamburg,['Feste Anstellung'],['german'],"['team player', 'analytical']","['sql', 'programming language', 'database']",,,IT,Data & AI,Data Analysis,5y,True,False,True
901,Data Management Expert,ING Deutschland,Frankfurt am Main,['Feste Anstellung'],"['german', 'english']","['analytical', 'management']","['sql', 'snowflake', 'databricks', 'dbt', 'data foundation', 'programming language', 'dbt (data build tool)', 'database', 'data warehouse']",,,IT,Data & AI,Data Analysis,,False,False,True
902,Data Analyst,Allianz Versicherungs-AG,Unterföhring (bei München),"['Studentenjobs', 'Werkstudent']",,"['team player', 'creativity']","['excel', 'sql', 'python', 'r', 'power bi', 'tableau', 'programming language', 'bi tools', 'database']",,,IT,Data & AI,Data Analysis,,True,True,False
903,Social Or Health Scientist Data Analyst,Medizinischer Dienst Bund,"Berlin, Essen",['Feste Anstellung'],['german'],,['programming language'],,,IT,Data & AI,Data Analysis,,True,True,True
904,Data Engineer,Computer Futures,"Hamburg, Frankfurt, München, Hannover, Köln, Berlin, Düsseldorf, Stuttgart",['Feste Anstellung'],['german'],,"['python', 'programming language']",['degree'],"['engineering', 'computer science']",IT,Data & AI,Data Engineering,,True,False,True
905,Consultant Artificial Intelligence Data Strategy Foundation,Capgemini Invent,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart",['Feste Anstellung'],"['german', 'english']","['communicates', 'communicate']","['ai/data strategy', 'data foundation', 'regulatory data']","['bachelor', 'master', 'degree']","['economic', 'it-related', 'technical', 'business']",IT,Data & AI,Data Analysis,,False,False,True
906,Management Quality Data Analytics,Pfizer Pharma GmbH,Freiburg im Breisgau,['Berufseinstieg/Trainee'],,"['analytical', 'communication', 'initiative']",[],['degree'],"['engineering', 'business']",IT,Data & AI,Data Analysis,,False,False,True
907,Specialist Data Protection,Exyte Management GmbH,Stuttgart,['Feste Anstellung'],"['german', 'english']",['organized'],['iso 27001'],['degree'],['business'],Legal,Compliance & Regulatory,Compliance & Regulatory,,True,False,True
908,Planning Specialist Tga Data ,GOLDBECK Südwest GmbH,"Hirschberg an der Bergstraße bei Mannheim, Frankfurt am Main",['Feste Anstellung'],,,[],"['master', 'degree']",['engineering'],IT,Data & AI,Data Analysis,,True,False,True
909,Specialist Data Privacy - Ionos ,IONOS,Karlsruhe,['Feste Anstellung'],,,[],,,IT,Data & AI,Data Analysis,,True,False,True
910,Data Systems Engineer,STARK Deutschland GmbH,Offenbach,['Feste Anstellung'],['english'],"['analytical', 'management', 'communication']","['sql', 'aws', 'azure', 'kubernetes', 'containerization', 'programming language', 'data engineering', 'data pipeline tool', 'database']",,,Engineering,Industrial & Systems,Industrial & Systems,,True,False,True
911,Data Engineer,AXA Konzern AG,Köln,['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication']","['snowflake', 'data warehouse']",,,IT,Data & AI,Data Engineering,3y,True,False,True
912,Or Intern Data Processes,Dr. August Oetker Nahrungsmittel KG,Bielefeld,"['Praktikum', 'Studentenjobs', 'Werkstudent']","['german', 'english']","['analytical', 'management']","['ms office', 'excel', 'data foundation']",['degree'],['business'],IT,Data & AI,Data Analysis,,True,True,True
913,Data Warehouse Business Analyst Data Modeler,HDI AG,Hannover,['Feste Anstellung'],"['german', 'english']",['communication'],"['python', 'programming language']",['degree'],"['economic', 'computer science', 'business']",IT,Data & AI,Data Engineering,,True,True,True
914,Hr Digitalization Specialist Data Payroll Systems,Birkenstock Group B.V. & Co. KG,"Köln, Linz am Rhein",['Feste Anstellung'],"['german', 'english']",['management'],['data foundation'],['master'],"['economic', 'computer science']",IT,Data & AI,Data Analysis,,False,False,True
915,Data Analytics Digitization,Lidl Stiftung & Co. KG,Neckarsulm,['Praktikum'],['english'],,"['sql', 'ms office', 'excel', 'programming language', 'database']",,,IT,Data & AI,Data Analysis,,False,False,True
916,Data Analyst,Rhenus Group,Holzwickede,['Feste Anstellung'],['german'],,['data engineering'],,,IT,Data & AI,Data Analysis,,False,False,True
917,Global Master Data Steward,ZEISS,Oberkochen (Baden-Württemberg),['Feste Anstellung'],"['german', 'english']",['management'],['sap'],['master'],"['economic', 'technical', 'computer science']",IT,Data & AI,Data Analysis,,False,False,True
918,Data Engineering,toom Baumarkt GmbH (Ein Unternehmen der REWE Group),Köln,"['Studentenjobs', 'Werkstudent']",['german'],,"['sql', 'programming language', 'database']",,,IT,Data & AI,Data Science,,True,True,False
919,It Data Engineer - Communication Data Architecture,green flexibility development GmbH,Kempten,['Feste Anstellung'],,"['management', 'communication']",['data foundation'],,,IT,Data & AI,Data Engineering,,True,False,True
920,Data Quality,Stepstone GmbH,Düsseldorf,"['Studentenjobs', 'Werkstudent']","['german', 'english']",,['excel'],,,IT,Data & AI,Data Analysis,,False,True,False
921,Specialist Cybersecurity Data Privacy Medical Technology,Löwenstein Medical Technology GmbH + Co. KG,Hamburg,['Feste Anstellung'],"['german', 'french', 'english', 'spanish']",,['hipaa'],['certification'],['technical'],Legal,Compliance & Regulatory,Compliance & Regulatory,,True,False,True
922,Data Cloud Engineer Automated Driving,ARRK Engineering GmbH,München,['Feste Anstellung'],,['management'],['cloud'],,,IT,DevOps & Cloud,Cloud Engineering,,True,False,True
923,Legal Counsel Data Privacy Protection,Magna,"Sailauf, München",['Feste Anstellung'],,,[],['degree'],['business'],Business,Administration & Legal,Legal & Compliance,,True,False,True
924,Data Governance Manager P2P,Vaillant GmbH,Remscheid,['Feste Anstellung'],,"['communicates', 'management', 'communication']","['supply chain', 'word']",,,IT,Data & AI,Data Analysis,,True,False,True
925,Sales Data Artificial Intelligence Public Sector,Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",['Feste Anstellung'],"['german', 'english']",,['artificial intelligence'],,,IT,Data & AI,Data Analysis,,True,False,True
926,Data Quality Specialist,Gebr. Heinemann SE & Co. KG,Hamburg,['Feste Anstellung'],"['german', 'english']",,[],,,IT,Data & AI,Data Analysis,,False,False,True
927,Account Executive Process Industry Life Sciences,SAP SE,"Walldorf, DE, 69190",['Feste Anstellung'],,,['sap'],,,Education,University & Research,University & Research,,False,False,True
928,Business Development Manager Digital Lessons Datalogging,PHYWE SYSTEME GmbH & Co. KG,Göttingen,['Feste Anstellung'],,['communication'],['sap'],,,Business,Sales & Marketing,Sales,2y,False,False,True
929,Bachelor Science Computer Science Dual It Security,Fraport AG,Frankfurt,,"['german', 'english']","['creativity', 'communication']",['ai'],,,IT,Software Development,Full-Stack Development,3y,False,False,False
930,Erp Master Data Specialist,J.P.Sauer & Sohn Maschinenbau GmbH,Kiel,['Feste Anstellung'],"['german', 'english']",,['word'],['degree'],['business'],IT,Data & AI,Data Analysis,,True,True,True
931,Specialist Data Management - Back Office,HypoVereinsbank - UniCredit - Deutschland,München,['Feste Anstellung'],"['german', 'english']","['communicates', 'communicate']",['data management'],,,IT,Data & AI,Data Analysis,2y,False,True,True
932,Account Manager Area Life Science,SMC Deutschland GmbH,bundesweit,['Feste Anstellung'],['english'],"['analytical', 'communication']",['sap'],,,Business,Sales & Marketing,Sales,,False,False,True
933,Coordinator Master Data,MSC Germany S.A. & Co. KG,Hamburg,['Feste Anstellung'],,['management'],[],,,IT,Data & AI,Data Analysis,,False,False,True
934,Data Domain Owner Sales Customer Data,Vaillant GmbH,Remscheid,['Feste Anstellung'],"['german', 'english']","['analytical', 'communication', 'attention to detail']",[],,,IT,Data & AI,Data Analysis,2y,True,False,True
935,Account Manager Life Science - Plz 75,SMC Deutschland GmbH,Region Baden-Württemberg,['Feste Anstellung'],,['initiative'],['sap'],,,Business,Sales & Marketing,Sales,,False,False,True
936,Planning Specialist Tga Data ,GOLDBECK Südwest GmbH,"Mannheim, Hirschberg an der Bergstraße, Frankfurt am Main",['Feste Anstellung'],"['german', 'english']","['analytical', 'communication', 'attention to detail']",[],,,IT,Data & AI,Data Analysis,4y,True,False,True
937,Powerbi-Data Engineer Health Sector,Robert Half,Bad Kreuznach,['Feste Anstellung'],"['german', 'english']",,['data engineer'],['degree'],"['economic', 'computer science', 'business']",IT,Data & AI,Data Engineering,,True,False,True
938,Data Analytics Engineer,Obungi GmbH,"Hamburg, Kiel, Bremen, Lübeck, Lüneburg","['Berufseinstieg/Trainee', 'Feste Anstellung']","['german', 'english']",['communication'],['on-premise systems'],,,IT,Data & AI,Data Analysis,,True,True,True
939,Data Engineer,CHEFS CULINAR West GmbH & Co. KG,Weeze,['Feste Anstellung'],,['management'],['sap'],,,IT,Data & AI,Data Engineering,3y,True,False,True
940,Data Analyst,CHEFS CULINAR West GmbH & Co. KG,Weeze,['Feste Anstellung'],"['german', 'english']","['attention to detail', 'analytical', 'initiative']","['vba', 'sql', 'python', 'programming language', 'database']",['degree'],['technical'],IT,Data & AI,Data Analysis,,True,False,True
941,Strategic Sales Executive Data Solutions Asset Information Management,Etteplan GERMANY GmbH,"Leverkusen, Dortmund, Stuttgart, München",['Feste Anstellung'],"['german', 'french', 'english']","['management', 'communication']","['ms office', 'excel', 'data foundation', 'bi tools']",,,Business,Sales & Marketing,Sales,,True,False,True
942,Technical Data Artificial Intelligence,Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",['Feste Anstellung'],['english'],,"['word', 'sap']",['master'],['business'],IT,Data & AI,Data Science,8y,True,False,True
943,Data Protection Consultant,BridgingIT GmbH,Stuttgart,['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication']","['excel', 'power bi', 'tableau', 'bi tools']","[""master's"", ""bachelor's""]","['economic', 'business']",Legal,Compliance & Regulatory,Compliance & Regulatory,,True,True,True
944,Teamlead Sap Consultant Finance Controlling,NTT DATA Deutschland SE,"München, Frankfurt a. M., Stuttgart, Köln, Hamburg, Ettlingen, Wolfsburg, Erfurt, Berlin",['Feste Anstellung'],"['german', 'english']","['communication', 'leadership', 'management', 'time management', 'analytical']",['project management'],"['bachelor', 'degree']","['economic', 'business']",IT,IT Support,ERP & Business Systems,,True,False,True
945,Sap Consultant Finance Transformation,NTT DATA Deutschland SE,"München, Frankfurt a. M., Stuttgart, Köln, Hamburg, Ettlingen, Wolfsburg, Erfurt, Berlin, Wien",['Feste Anstellung'],['english'],"['management', 'collaboration']",['api'],,,IT,IT Support,ERP & Business Systems,5y,True,False,True
946,Solution Manager,NTT DATA Deutschland SE,"München, Berlin, Erfurt, Ettlingen, Frankfurt a. M., Hamburg, Köln, Stuttgart, Wolfsburg",['Feste Anstellung'],['english'],,"['python', 'linux', 'containerization', 'programming language']",,,Business,Procurement,Vendor Management,3y,True,False,True
947,Marketing Generalist,Data Modul AG,München,['Feste Anstellung'],['english'],,['autocad'],,,Business,Sales & Marketing,Digital Marketing,,False,False,True
948,Commercial Manager Data ,HOCHTIEF Data Center Partner GmbH,Essen,['Feste Anstellung'],,,[],,,IT,Data & AI,Data Analysis,,False,False,True
949,Consultant Sap Successfactors - Integration Technology,NTT DATA Business Solutions AG,bundesweit,['Feste Anstellung'],['german'],,"['linux', 'sql', 'programming language', 'database']",,,IT,DevOps & Cloud,Cloud Engineering,,True,True,True
950,Software-Developer C Java,MedTec & Science GmbH,Ottobrunn bei München,['Feste Anstellung'],['german'],['analytical'],"['javascript', 'power bi', 'excel', 'programming language', 'bi tools', 'database']","['masters', 'degree']","['economic', 'computer science']",IT,Software Development,Frontend Development,,True,True,True
951,Business Owner - Cybersecurity Services,G DATA CyberDefense AG,Bochum,['Feste Anstellung'],,['leadership'],['programming language'],"['master of science', 'bachelor', 'master', 'degree']",['engineering'],IT,Cybersecurity,Security Engineering,,True,False,True
952,Quality Manager Medical Technology,MedTec & Science GmbH,Ottobrunn,['Feste Anstellung'],,['communication'],"['programming language', 'analytics techniques', 'ml techniques']",,,Customer Service,Client Relations,Client Relations,2y,True,False,True
953,Engineer Construction Data ,HOCHTIEF Data Center Partner GmbH,Essen,['Feste Anstellung'],,,[],,,Engineering,Civil & Structural,Civil & Structural,,False,False,True
954,Servicenow Technical Consultant,NTT DATA Deutschland SE,"München, Ettlingen, Frankfurt a. M., Hamburg, Köln, Stuttgart",['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication']",['data foundation'],"['master', 'degree']","['computer science', 'business']",IT,IT Management,Enterprise Architecture,,True,False,True
955,Client Partner Healthcare It Provider,NTT DATA Deutschland SE,"München, Berlin, Erfurt, Ettlingen, Frankfurt a. M., Hamburg, Köln, Rosenheim, Stuttgart, Wolfsburg",['Feste Anstellung'],['english'],['attention to detail'],[],['degree'],['engineering'],Customer Service,Client Relations,Client Relations,,True,False,True
956,Clerk Office Management,opta data Gruppe,Essen,['Feste Anstellung'],,,"['python', 'programming language']",,,Public Sector & Non-Profit,Government,Government,,True,False,True
957,It Service Technician - It Specialist,GS data business OHG,Aurich,['Feste Anstellung'],,['management'],['sap'],['degree'],"['computer science', 'business']",Customer Service,Client Relations,Client Relations,6y,True,False,True
958,Account Manager Artificial Intelligence,NTT Global Data Centers EMEA GmbH,"Frankfurt am Main, Hemel Hempstead, Dagenham",['Feste Anstellung'],,"['communication', 'management', 'team player', 'analytical', 'attention to detail']","['data analysis', 'bi tools']",,,Business,Sales & Marketing,Sales,3y,True,False,True
